{
  {specialConditions={},result="Desolate",allele2="Barren",allele1="Arid",chance=10.0},
  {specialConditions={},result="Celebratory",allele2="Excited",allele1="Austere",chance=5.0},
  {specialConditions={},result="Stained",allele2="Ocean",allele1="Ebony",chance=8.0},
  {specialConditions={"Occurs within a plains biome."},result="Beefy",allele2="Skulking",allele1="Common",chance=12.0},
  {specialConditions={"Requires Entropy Crystal Cluster as a foundation."},result="Essentia",allele2="Chaotic",allele1="Ordered",chance=8.0},
  {specialConditions={},result="Fungal",allele2="Miry",allele1="Boggy",chance=8.0},
  {specialConditions={},result="Cultivated",allele2="Common",allele1="Mystical",chance=12.0},
  {specialConditions={},result="Ancient",allele2="Diligent",allele1="Noble",chance=10.0},
  {specialConditions={"Requires Block of Manganese as a foundation."},result="Manganese",allele2="Aluminium",allele1="Titanium",chance=5.0},
  {specialConditions={"Requires Callisto Surface Block as a foundation.","Required Dimension Callisto"},result="Callisto",allele2="Frigid",allele1="Jupiter",chance=15.0},
  {specialConditions={"Occurs within a end biome."},result="Draconic",allele2="Abandoned",allele1="Imperial",chance=6.0},
  {specialConditions={},result="Rejuvenating",allele2="Vis",allele1="Attuned",chance=8.0},
  {specialConditions={"Requires Tin Block as a foundation."},result="Tin",allele2="Diligent",allele1="Clay",chance=13.0},
  {specialConditions={},result="Common",allele2="Wintry",allele1="Forest",chance=15.0},
  {specialConditions={"Requires temperature between Icy and Cold."},result="Icy",allele2="Wintry",allele1="Industrious",chance=12.0},
  {specialConditions={"Requires Block of Tungsten as a foundation."},result="Tungsten",allele2="Manganese",allele1="Heroic",chance=5.0},
  {specialConditions={},result="Common",allele2="Meadows",allele1="Forest",chance=15.0},
  {specialConditions={"Occurs within a nether biome."},result="Demonic",allele2="Fiendish",allele1="Sinister",chance=25.0},
  {specialConditions={"Requires Block of Europium as a foundation."},result="Europium",allele2="Hydrogen",allele1="Neodymium",chance=1.25},
  {specialConditions={},result="Common",allele2="Meadows",allele1="Unusual",chance=15.0},
  {specialConditions={},result="Indigo",allele2="Prussian",allele1="Maroon",chance=5.0},
  {specialConditions={"Requires Block of Silver as a foundation."},result="Argentum",allele2="Modest",allele1="Imperial",chance=8.0},
  {specialConditions={},result="Fungal",allele2="Fungal",allele1="Boggy",chance=8.0},
  {specialConditions={},result="Absolute",allele2="Frigid",allele1="Ocean",chance=10.0},
  {specialConditions={"Requires Hellish temperature."},result="Ash",allele2="Clay",allele1="Coal",chance=10.0},
  {specialConditions={},result="Pink",allele2="Red",allele1="White",chance=10.0},
  {specialConditions={},result="Glittering",allele2="Lustered",allele1="Majestic",chance=2.0},
  {specialConditions={},result="Ghastly",allele2="Ethereal",allele1="Batty",chance=9.0},
  {specialConditions={"Requires Block of Astral Silver as a foundation."},result="Astral Silver",allele2="Iron",allele1="Silver",chance=3.0},
  {specialConditions={"Better success between the Waxing Crescent and Waxing Gibbous."},result="Arcane",allele2="Mysterious",allele1="Esoteric",chance=8.0},
  {specialConditions={},result="Ecstatic",allele2="Energetic",allele1="Excited",chance=8.0},
  {specialConditions={"Requires Block of Chrome as a foundation."},result="Chrome",allele2="Ruby",allele1="Titanium",chance=5.0},
  {specialConditions={"Requires Block of Aluminum as a foundation."},result="Aluminium",allele2="Zinc",allele1="Nickel",chance=9.0},
  {specialConditions={},result="Rusty",allele2="Resilient",allele1="Meadows",chance=5.0},
  {specialConditions={"Requires Mercury Surface Block as a foundation.","Required Dimension Mercury"},result="Mercury",allele2="Tungsten",allele1="Jupiter",chance=12.5},
  {specialConditions={"Requires Block of Nether Star as a foundation."},result="Nether Shard",allele2="Fire",allele1="Chaos",chance=15.0},
  {specialConditions={"Occurs within a nether biome."},result="Furious",allele2="Embittered",allele1="Fiendish",chance=30.0},
  {specialConditions={"Requires Tin Block as a foundation."},result="Stannum",allele2="Forest",allele1="Industrious",chance=12.0},
